"category","meta_cat","group_num","year","gross_inv_ipd"
"GDP","GDP",0,1947,12.25
"GDP","GDP",0,1948,12.946
"GDP","GDP",0,1949,12.942
"GDP","GDP",0,1950,13.064
"GDP","GDP",0,1951,13.95
"GDP","GDP",0,1952,14.254
"GDP","GDP",0,1953,14.436
"GDP","GDP",0,1954,14.583
"GDP","GDP",0,1955,14.79
"GDP","GDP",0,1956,15.296
"GDP","GDP",0,1957,15.831
"GDP","GDP",0,1958,16.199
"GDP","GDP",0,1959,16.412
"GDP","GDP",0,1960,16.637
"GDP","GDP",0,1961,16.814
"GDP","GDP",0,1962,17.019
"GDP","GDP",0,1963,17.214
"GDP","GDP",0,1964,17.476
"GDP","GDP",0,1965,17.796
"GDP","GDP",0,1966,18.295
"GDP","GDP",0,1967,18.825
"GDP","GDP",0,1968,19.627
"GDP","GDP",0,1969,20.59
"GDP","GDP",0,1970,21.676
"GDP","GDP",0,1971,22.776
"GDP","GDP",0,1972,23.76
"GDP","GDP",0,1973,25.061
"GDP","GDP",0,1974,27.309
"GDP","GDP",0,1975,29.846
"GDP","GDP",0,1976,31.49
"GDP","GDP",0,1977,33.445
"GDP","GDP",0,1978,35.798
"GDP","GDP",0,1979,38.766
"GDP","GDP",0,1980,42.278
"GDP","GDP",0,1981,46.269
"GDP","GDP",0,1982,49.13
"GDP","GDP",0,1983,51.051
"GDP","GDP",0,1984,52.894
"GDP","GDP",0,1985,54.568
"GDP","GDP",0,1986,55.673
"GDP","GDP",0,1987,57.041
"GDP","GDP",0,1988,59.055
"GDP","GDP",0,1989,61.37
"GDP","GDP",0,1990,63.676
"GDP","GDP",0,1991,65.819
"GDP","GDP",0,1992,67.321
"GDP","GDP",0,1993,68.917
"GDP","GDP",0,1994,70.386
"GDP","GDP",0,1995,71.864
"GDP","GDP",0,1996,73.178
"GDP","GDP",0,1997,74.446
"GDP","GDP",0,1998,75.267
"GDP","GDP",0,1999,76.346
"GDP","GDP",0,2000,78.069
"GDP","GDP",0,2001,79.822
"GDP","GDP",0,2002,81.039
"GDP","GDP",0,2003,82.567
"GDP","GDP",0,2004,84.778
"GDP","GDP",0,2005,87.407
"GDP","GDP",0,2006,90.074
"GDP","GDP",0,2007,92.498
"GDP","GDP",0,2008,94.264
"GDP","GDP",0,2009,94.999
"GDP","GDP",0,2010,96.109
"GDP","GDP",0,2011,98.112
"GDP","GDP",0,2012,100
"GDP","GDP",0,2013,101.773
"GDP","GDP",0,2014,103.647
"GDP","GDP",0,2015,104.688
"GDP","GDP",0,2016,105.77
"GDP","GDP",0,2017,107.795
"Basic","Infrastructure",1,1947,6.78869516889633
"Basic","Infrastructure",1,1948,7.79488864768379
"Basic","Infrastructure",1,1949,7.7027390590775
"Basic","Infrastructure",1,1950,7.66477708288522
"Basic","Infrastructure",1,1951,8.76280883306496
"Basic","Infrastructure",1,1952,9.04903405871035
"Basic","Infrastructure",1,1953,9.1625130972515
"Basic","Infrastructure",1,1954,9.00051314505246
"Basic","Infrastructure",1,1955,8.95739087260239
"Basic","Infrastructure",1,1956,9.96974617769564
"Basic","Infrastructure",1,1957,10.545988548684
"Basic","Infrastructure",1,1958,10.193845330913
"Basic","Infrastructure",1,1959,10.1808709804251
"Basic","Infrastructure",1,1960,10.1139688907094
"Basic","Infrastructure",1,1961,9.97188721378554
"Basic","Infrastructure",1,1962,10.0750869749145
"Basic","Infrastructure",1,1963,10.1652432252905
"Basic","Infrastructure",1,1964,10.3271908810074
"Basic","Infrastructure",1,1965,10.6342561342317
"Basic","Infrastructure",1,1966,11.0862238929097
"Basic","Infrastructure",1,1967,11.4681607240743
"Basic","Infrastructure",1,1968,11.9680109280472
"Basic","Infrastructure",1,1969,12.7197917657512
"Basic","Infrastructure",1,1970,13.8383904725897
"Basic","Infrastructure",1,1971,14.8695968954897
"Basic","Infrastructure",1,1972,15.7021955828178
"Basic","Infrastructure",1,1973,16.9660413577746
"Basic","Infrastructure",1,1974,20.4063661976543
"Basic","Infrastructure",1,1975,22.9893054295962
"Basic","Infrastructure",1,1976,23.8095282462645
"Basic","Infrastructure",1,1977,25.2360635359737
"Basic","Infrastructure",1,1978,26.3299471525058
"Basic","Infrastructure",1,1979,28.4416213061009
"Basic","Infrastructure",1,1980,32.038473132257
"Basic","Infrastructure",1,1981,36.0783222036456
"Basic","Infrastructure",1,1982,38.685813645822
"Basic","Infrastructure",1,1983,39.3382797006548
"Basic","Infrastructure",1,1984,39.3345128312766
"Basic","Infrastructure",1,1985,39.6152249258417
"Basic","Infrastructure",1,1986,40.2089597647065
"Basic","Infrastructure",1,1987,41.6117476303056
"Basic","Infrastructure",1,1988,42.6038086236513
"Basic","Infrastructure",1,1989,43.9424276656154
"Basic","Infrastructure",1,1990,45.3402188964303
"Basic","Infrastructure",1,1991,45.8968215832962
"Basic","Infrastructure",1,1992,46.1302828987323
"Basic","Infrastructure",1,1993,46.9553596866356
"Basic","Infrastructure",1,1994,48.133181640996
"Basic","Infrastructure",1,1995,50.2644087521061
"Basic","Infrastructure",1,1996,52.0680624298042
"Basic","Infrastructure",1,1997,53.755467585438
"Basic","Infrastructure",1,1998,54.6030156487895
"Basic","Infrastructure",1,1999,56.0865272976967
"Basic","Infrastructure",1,2000,58.6329437726936
"Basic","Infrastructure",1,2001,60.09393986353
"Basic","Infrastructure",1,2002,61.1807386298255
"Basic","Infrastructure",1,2003,62.3138716390384
"Basic","Infrastructure",1,2004,65.28445213717
"Basic","Infrastructure",1,2005,71.4328583149301
"Basic","Infrastructure",1,2006,77.2688072095227
"Basic","Infrastructure",1,2007,83.5394650418191
"Basic","Infrastructure",1,2008,89.4289492388875
"Basic","Infrastructure",1,2009,89.5741517466188
"Basic","Infrastructure",1,2010,91.7040419901527
"Basic","Infrastructure",1,2011,96.0141654144338
"Basic","Infrastructure",1,2012,100.000332895797
"Basic","Infrastructure",1,2013,101.49212734038
"Basic","Infrastructure",1,2014,102.798860884314
"Basic","Infrastructure",1,2015,103.55428842743
"Basic","Infrastructure",1,2016,103.576001070683
"Basic","Infrastructure",1,2017,106.582458371651
"Social","Infrastructure",1,1947,7.61951666312275
"Social","Infrastructure",1,1948,8.00389938552194
"Social","Infrastructure",1,1949,7.72181222436069
"Social","Infrastructure",1,1950,7.65602217325367
"Social","Infrastructure",1,1951,8.54259630599554
"Social","Infrastructure",1,1952,8.67547585921471
"Social","Infrastructure",1,1953,8.5834662245416
"Social","Infrastructure",1,1954,8.26911086544029
"Social","Infrastructure",1,1955,8.42525256245647
"Social","Infrastructure",1,1956,9.17094811697071
"Social","Infrastructure",1,1957,9.59125801600577
"Social","Infrastructure",1,1958,9.33464381482945
"Social","Infrastructure",1,1959,9.76537728034409
"Social","Infrastructure",1,1960,9.85274217492839
"Social","Infrastructure",1,1961,9.86490303388156
"Social","Infrastructure",1,1962,10.0442198591609
"Social","Infrastructure",1,1963,10.138793083831
"Social","Infrastructure",1,1964,10.3273451686364
"Social","Infrastructure",1,1965,10.5858438987329
"Social","Infrastructure",1,1966,10.8547590055535
"Social","Infrastructure",1,1967,11.2148468479248
"Social","Infrastructure",1,1968,11.7512973292349
"Social","Infrastructure",1,1969,13.0194087553774
"Social","Infrastructure",1,1970,14.1785540189762
"Social","Infrastructure",1,1971,15.5965414302424
"Social","Infrastructure",1,1972,16.8028773921984
"Social","Infrastructure",1,1973,18.1519797861118
"Social","Infrastructure",1,1974,20.4254464793346
"Social","Infrastructure",1,1975,22.8245914805235
"Social","Infrastructure",1,1976,24.105787679831
"Social","Infrastructure",1,1977,26.3176704346139
"Social","Infrastructure",1,1978,29.0798769910386
"Social","Infrastructure",1,1979,32.1163721883872
"Social","Infrastructure",1,1980,35.4090412569533
"Social","Infrastructure",1,1981,39.4744099157157
"Social","Infrastructure",1,1982,43.1592295341647
"Social","Infrastructure",1,1983,44.9313545764201
"Social","Infrastructure",1,1984,46.802091676035
"Social","Infrastructure",1,1985,47.6729989727663
"Social","Infrastructure",1,1986,48.9816828225302
"Social","Infrastructure",1,1987,50.6160426192299
"Social","Infrastructure",1,1988,52.4346069794427
