"name","last_name","first_name","graduation_date","rank_at_graduation","class","graduated_from","pilot_type","military_hometown_of_record","state","aerial_victory_credits","number_of_aerial_victory_credits","reported_lost","reported_lost_date","reported_lost_location","web_profile"
"Adams, John H., Jr.","Adams","John H., Jr.",1945-04-15,"2nd Lt","SE-45-B","TAAF","Single engine","Kansas City","KS",,0,,,,"https://cafriseabove.org/john-h-adams-jr/"
"Adams, Paul","Adams","Paul",1943-04-29,"2nd Lt","SE-43-D","TAAF","Single engine","Greenville","SC",,0,,,,"https://cafriseabove.org/paul-adams/"
"Adkins, Rutherford H.","Adkins","Rutherford H.",1944-10-16,"2nd Lt","SE-44-I-1","TAAF","Single engine","Alexandria","VA",,0,,,,"https://cafriseabove.org/rutherford-h-adkins/"
"Adkins, Winston A.","Adkins","Winston A.",1944-02-08,"2nd Lt","TE-44-B","TAAF","Twin engine","Chicago","IL",,0,,,,
"Alexander, Halbert L.","Alexander","Halbert L.",1944-11-20,"2nd Lt","SE-44-I","TAAF","Single engine","Georgetown","IL",,0,,,,"https://cafriseabove.org/halbert-l-alexander/"
"Alexander, Harvey R.","Alexander","Harvey R.",1944-04-15,"2nd Lt","TE-44-D","TAAF","Twin engine","Georgetown","IL",,0,,,,"https://cafriseabove.org/harvey-r-alexander/"
"Alexander, Robert R.","Alexander","Robert R.",1943-06-30,"2nd Lt","SE-43-F","TAAF","Single engine","Harrisburg","PA",,0,,,,
"Alexander, Walter G., III","Alexander","Walter G., III",1945-06-27,"2nd Lt","SE-45-D","TAAF","Single engine","Orange","NJ",,0,,,,
"Allen, Carl V.","Allen","Carl V.",1946-06-28,"2nd Lt","SE-46-C","TAAF","Single engine","Bronx","NY",,0,,,,
"Allen, Clarence W.","Allen","Clarence W.",1943-03-25,"2nd Lt","SE-43-C","TAAF","Single engine","Mobile","AL","Downed 1/2 Fw-190 on January 27, 1944",1,,,,
"Allen, Walter H.","Allen","Walter H.",1944-12-28,"Flight Officer","TE-44-J","TAAF","Twin engine","Kansas City","KS",,0,,,,
"Allison, James M.","Allison","James M.",1946-06-28,"2nd Lt","TE-46-C","TAAF","Twin engine","Chicago","IL",,0,,,,
"Alsbrook, William N.","Alsbrook","William N.",1943-10-01,"2nd Lt","SE-43-I","TAAF","Single engine","Kansas City","KS",,0,,,,"https://cafriseabove.org/william-noel-alsbrook/"
"Alston, William R","Alston","William R",1944-11-20,"2nd Lt","SE-44-I","TAAF","Single engine","Huntington","WV",,0,,,,
"Anders, Emet R.","Anders","Emet R.",1944-09-08,"2nd Lt","SE-44-H","TAAF","Single engine","Carbondale","IL",,0,,,,
"Anderson, Paul T.","Anderson","Paul T.",1944-10-16,"1st Lt","TE-44-I-1","TAAF","Twin engine","Woodbine","NY",,0,,,,
"Anderson, Rayfield A.","Anderson","Rayfield A.",1944-02-01,"2nd Lt","TE-44-K","TAAF","Twin engine","Indianapolis","IN",,0,,,,
"Anderson, Robert D.","Anderson","Robert D.",1944-04-15,"2nd Lt","TE-44-D","TAAF","Twin engine","Indianapolis","In",,0,,,,
"Archer, Lee A.","Archer","Lee A.",1943-07-28,"2nd Lt","SE-43-G","TAAF","Single engine","New York","NY","Downed 1 Me-109 on July 18, 1944; Downed 3 Me-109s on October 12, 1944",4,,,,"https://cafriseabove.org/profiles-of-tuskegee-airmen-lee-archer/"
"Armistead, Richard S. A.","Armistead","Richard S. A.",1944-06-27,"Flight Officer","SE-44-F","TAAF","Single engine","Philadelphia","PA",,0,,,,
"Armstrong, William P.","Armstrong","William P.",1944-09-08,"Flight Officer","SE-44-H","TAAF","Single engine","Providence","RI",,0,,,,"https://cafriseabove.org/william-p-armstrong/"
"Ashby, Robert","Ashby","Robert",1945-11-20,"2nd Lt","TE-45-H","TAAF","Twin engine","Jersey City","NJ",,0,,,,"https://cafriseabove.org/robert-ashby/"
"Ashley, Willie","Ashley","Willie",1942-07-03,"2nd Lt","SE-42-F","TAAF","Single engine","Sumter","SC","Downed 1 Fw-190 on January 27, 1944",1,,,,"https://cafriseabove.org/willie-ashley-jr/"
"Askins, Montro D.","Askins","Montro D.",1944-02-01,"2nd Lt","SE-44-K","TAAF","Single engine","Baltimore","MD",,0,,,,
"Audant, Ludovic F.","Audant","Ludovic F.",1944-02-08,,"SE-44-B","TAAF","Single engine","Port Au Prince","Haiti",,0,,,,"https://cafriseabove.org/ludovic-f-audant/"
"Bailey, Charles P.","Bailey","Charles P.",1943-04-29,"2nd Lt","SE-43-D","TAAF","Single engine","Puntagorda","FL","Downed 1 Fw-190 on January 27, 1944; Downed 1 Fw-190 on July 18, 1944",2,,,,"https://cafriseabove.org/charles-paul-bailey-sr/"
"Bailey, Harry L.","Bailey","Harry L.",1943-07-28,"2nd Lt","SE-43-G","TAAF","Single engine","Chicago","IL",,0,,,,
"Bailey, Terry C.","Bailey","Terry C.",1945-05-23,"Flight Officer","SE-45-C","TAAF","Single engine","Richmond","VA",,0,,,,"https://cafriseabove.org/terry-bailey/"
"Bailey, William H.","Bailey","William H.",1945-08-04,"2nd Lt","SE-45-E","TAAF","Single engine","Pittsburg","PA",,0,,,,
"Baker, Lee Arthur","Baker","Lee Arthur",1943-12-07,"1st Lt","CL-43-3","TAAF","Liaison pilot",,,,0,,,,
"Baldwin, Henry, Jr.","Baldwin","Henry, Jr.",1945-11-20,"Flight Officer","TE-45-H","TAAF","Twin engine","Philadelphia","PA",,0,,,,
"Ballard, Alton F.","Ballard","Alton F.",1943-08-30,"2nd Lt","SE-43-H","TAAF","Single engine","Pasadena","CA",,0,,,,
"Barksdale, James M.","Barksdale","James M.",1946-03-23,"Flight Officer","SE-46-A","TAAF","Single engine","Detroit","MI",,0,,,,"https://cafriseabove.org/artifact/artifact-photo-of-james-m-barksdale-c-o-1946/"
"Barland, Herbert C.","Barland","Herbert C.",1944-09-08,"2nd Lt","SE-44-H","TAAF","Single engine","Chicago","IL",,0,,,,
"Barnes, Gentry E.","Barnes","Gentry E.",1944-04-15,"2nd Lt","SE-44-D","TAAF","Single engine","Lawrenceville","IL",,0,,,,"https://cafriseabove.org/gentry-eugene-barnes/"
"Barnett, Herman A.","Barnett","Herman A.",1945-08-04,"Flight Officer","SE-45-E","TAAF","Single engine","Lockhart","TX",,0,,,,
"Bartley, William R.","Bartley","William R.",1943-07-28,"2nd Lt","SE-43-G","TAAF","Single engine","Jacksonville","FL",,0,,,,
"Bates, George A.","Bates","George A.",1946-03-23,"Flight Officer","TE-46-A","TAAF","Twin engine","Chicago","IL",,0,,,,
"Battle, John D.","Battle","John D.",1943-12-07,"2nd Lt","CL-43-3","TAAF","Liaison pilot","New York","NY",,0,,,,
"Baugh, Howard L.","Baugh","Howard L.",1942-11-10,"2nd Lt","SE-42-J","TAAF","Single engine","Petersburg","VA","Downed 1 1/2 Fw-190 on January 27, 1944",1.5,,,,"https://cafriseabove.org/howard-baugh/"
"Bee, Clarence, Jr.","Bee","Clarence, Jr.",1945-04-15,"2nd Lt","SE-45-B","TAAF","Single engine","Kansas City","MO",,0,,,,
"Bell, George E.","Bell","George E.",1946-06-28,"2nd Lt","SE-46-C","TAAF","Single engine","Altoona","PA",,0,,,,
"Bell, John J.","Bell","John J.",1944-11-20,"Flight Officer","SE-44-I","TAAF","Single engine","Jersey City","NJ",,0,,,,
"Bell, Lloyd W.","Bell","Lloyd W.",1944-02-01,"2nd Lt","SE-44-K","TAAF","Single engine","Pulaski","IL",,0,,,,
"Bell, Raul W.","Bell","Raul W.",1944-04-15,"Flight Officer","SE-44-D","TAAF","Single engine","Portland","OR","Downed 1 Fw-190 on March 31, 1945",1,,,,
"Bell, Richard H.","Bell","Richard H.",1944-05-23,"2nd Lt","SE-44-E","TAAF","Single engine","Chicago","IL",,0,,,,
"Bennet, Henry","Bennet","Henry",1943-10-22,"2nd Lt","CL-43-2","TAAF","Liaison pilot","New Orleans","LA",,0,,,,
"Bennett, Joseph Bruce","Bennett","Joseph Bruce",1946-01-29,"2nd Lt","SE-45-I","TAAF","Single engine","Halesite","NY",,0,,,,
"Bibb, William V.","Bibb","William V.",1945-11-20,"2nd Lt","TE-45-H","TAAF","Twin engine","Ottumwa","IA",,0,,,,
